Unnamed: 0,Team,Player,Allstars,College,Play_Yrs,Games,Year,Pick,Player_ID,Season_ID,Conference,League_ID,Games_Played,Minutes,Points,O_Rebounds,D_Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Attempted,FG_Made,FT_Attempted,FT_Made,Three_Attempted,Three_Made
1.0,PIT,Clifton McNeeley,False,University of Texas at El Paso,,,1947.0,1.0,,,,,,,,,,,,,,,,,,,,,
2.0,TRH,Glen Selbo,False,University of Wisconsin,1.0,13.0,1947.0,2.0,,,,,,,,,,,,,,,,,,,,,
3.0,BOS,Bulbs Ehlers,False,Purdue University,2.0,99.0,1947.0,3.0,,,,,,,,,,,,,,,,,,,,,
4.0,PRO,Walt Dropo,False,University of Connecticut,,,1947.0,4.0,,,,,,,,,,,,,,,,,,,,,
5.0,NYK,Dick Holub,False,Long Island University,1.0,48.0,1947.0,5.0,,,,,,,,,,,,,,,,,,,,,
6.0,PHW,Chink Crossin,False,University of Pennsylvania,3.0,147.0,1947.0,6.0,,,,,,,,,,,,,,,,,,,,,
7.0,STB,Jack Underman,False,Ohio State University,,,1947.0,7.0,,,,,,,,,,,,,,,,,,,,,
8.0,CHS,Paul Huston,False,Ohio State University,1.0,46.0,1947.0,8.0,,,,,,,,,,,,,,,,,,,,,
9.0,WSC,Dick O'Keefe,False,Santa Clara University,4.0,172.0,1947.0,9.0,,,,,,,,,,,,,,,,,,,,,
10.0,BLB,Larry Killick,False,University of Vermont,,,1947.0,10.0,,,,,,,,,,,,,,,,,,,,,
11.0,BLB,Robert Bolyard,False,University of Toledo,,,1947.0,11.0,,,,,,,,,,,,,,,,,,,,,
12.0,BLB,Elmer Gainer,False,DePaul University,2.0,20.0,1947.0,12.0,,,,,,,,,,,,,,,,,,,,,
13.0,BLB,Harry Gallatin,True,Truman State University,10.0,682.0,1947.0,13.0,gallaha01,1950.0,East,NBA,1.0,0.0,5.0,,,5.0,2.0,,,,,4.0,2.0,1.0,1.0,,
13.0,BLB,Harry Gallatin,True,Truman State University,10.0,682.0,1947.0,13.0,gallaha01,1956.0,East,NBA,1.0,24.0,8.0,,,11.0,1.0,,,,,7.0,4.0,2.0,0.0,,
13.0,BLB,Harry Gallatin,True,Truman State University,10.0,682.0,1947.0,13.0,gallaha01,1955.0,East,NBA,1.0,30.0,16.0,,,5.0,2.0,,,,,12.0,5.0,7.0,6.0,,
13.0,BLB,Harry Gallatin,True,Truman State University,10.0,682.0,1947.0,13.0,gallaha01,1954.0,East,NBA,1.0,36.0,13.0,,,14.0,3.0,,,,,7.0,4.0,5.0,5.0,,
13.0,BLB,Harry Gallatin,True,Truman State University,10.0,682.0,1947.0,13.0,gallaha01,1953.0,East,NBA,1.0,28.0,5.0,,,18.0,3.0,,,,,2.0,0.0,6.0,5.0,,
13.0,BLB,Harry Gallatin,True,Truman State University,10.0,682.0,1947.0,13.0,gallaha01,1952.0,East,NBA,1.0,19.0,3.0,,,3.0,2.0,,,,,4.0,1.0,2.0,1.0,,
13.0,BLB,Harry Gallatin,True,Truman State University,10.0,682.0,1947.0,13.0,gallaha01,1951.0,East,NBA,1.0,22.0,7.0,,,9.0,3.0,,,,,5.0,3.0,4.0,1.0,,
149.0,NYK,Harry Gallatin,True,Truman State University,10.0,682.0,1948.0,69.0,gallaha01,1950.0,East,NBA,1.0,0.0,5.0,,,5.0,2.0,,,,,4.0,2.0,1.0,1.0,,
149.0,NYK,Harry Gallatin,True,Truman State University,10.0,682.0,1948.0,69.0,gallaha01,1956.0,East,NBA,1.0,24.0,8.0,,,11.0,1.0,,,,,7.0,4.0,2.0,0.0,,
149.0,NYK,Harry Gallatin,True,Truman State University,10.0,682.0,1948.0,69.0,gallaha01,1955.0,East,NBA,1.0,30.0,16.0,,,5.0,2.0,,,,,12.0,5.0,7.0,6.0,,
149.0,NYK,Harry Gallatin,True,Truman State University,10.0,682.0,1948.0,69.0,gallaha01,1954.0,East,NBA,1.0,36.0,13.0,,,14.0,3.0,,,,,7.0,4.0,5.0,5.0,,
